Equipe;Processo;Data Entrada;Status;Responsável;Prazo;UF;Contrato;BR;Tipo;Assunto;Providência;SEI Recebido;1 - SEI Criado;2 - SEI Criado;3 - SEI Criado;Data de Revisão;Observações;Data de Assinatura;Criado por;Data Criação;Cadastrado no SIMA?;Tem Prazo;Comentários;
PROJETO;50600.023451/2025-91;2026-05-20;Assinado;Bruno;2026-05-27;RS;00 00375/2024;BR-116;Projetos; Respostas à Nota Técnica do Componente Ambiental;Encaminhamento para a SR;24819719;24833125;;;2026-05-21;;2026-05-27;Bruno Pimenta Resende;2026-05-20;Sim;Não;;
PROJETO;50609.004210/2023-09;2026-05-20;Assinado;Bruno;2026-05-27;PR;09 00397/2021;BR-487;Projetos;Revisão do Projeto Executivo de Iluminação Pública;Encaminhamento de projeto para a SR e encaminhamento de análise para a empresa;24820417;24833396;24833443;;2026-05-21;;2026-05-27;Bruno Pimenta Resende;2026-05-20;Sim;Não;;
PROJETO;50614.000348/2026-02;2026-05-21;Assinado;Bruno;2026-05-28;RN;14 00070/2026;BR-304;Projetos;Elaboração dos projetos básicos e executivos, bem como a execução de obras remanescentes do Contrato nº 939/2015.;Verificar;24770572;24844289;;;2026-05-21;;2026-05-27;Bruno Pimenta Resende;2026-05-21;Sim;Não;;
PROJETO;50600.027265/2025-21;2026-05-21;Assinado;Bruno;2026-05-28;MT;-;BR-158;Notificação;Descumprimento dos prazos fixados no Cronograma Físico-Financeiro para entrega de Projeto Básico/Executivo.;Verificar;24814396;24874559;;;2026-05-25;;2026-05-27;Bruno Pimenta Resende;2026-05-21;Sim;Não;;
ASSESSORIA COAC;50600.017820/2026-97;2026-05-20;Assinado;Maria Júlia;2026-05-27;-;-;-;Ministério;Apresentação de abertura da Proposta Qualitativa do PLOA 2027.;Ciência.;24813170;24849449;;;2026-05-22;;2026-05-25;Maria Julia de Miranda Fiel dos Santos;2026-05-22;Sim;Não;;
PROJETO;50600.037160/2024-07;2026-05-22;Assinado;Bruno;2026-05-29;BA;00 00392/2024;BR-030;Projetos;Projetos e Análises;Encaminhamento e ciência;24852737;24898964;24898980;;2026-05-25;;2026-06-03;Bruno Pimenta Resende;2026-05-22;Sim;Não;;
ASSESSORIA COAC;50602.001272/2026-63;2026-05-18;Assinado;Maria Júlia;2026-05-25;PA;-;-;DNIT/SRE;Criação de rubrica orçamentária específica para inclusão na proposta da PLOA 2027.;Informar que a proposta foi considerada na elaboração da proposta da PLOA 2027.;24800345;24893066;;;2026-05-26;;2026-06-01;Maria Julia de Miranda Fiel dos Santos;2026-05-27;Sim;Não;;
ASSESSORIA COAC;50604.000992/2026-91;2026-05-18;Assinado;Maria Júlia;2026-05-25;PE;-;-;DNIT/SRE;Criação de rubrica orçamentária específica para inclusão na proposta da PLOA 2027. ;Informar que o pleito foi considerado na elaboração da proposta da PLOA 2027. ;24636380;24893033;;;2026-05-26;;2026-06-01;Maria Julia de Miranda Fiel dos Santos;2026-05-27;Sim;Não;;
ASSESSORIA COAC;50604.000658/2026-38;2026-05-21;Assinado;Maria Júlia;2026-05-28;PE;-;-;DNIT/SRE;Criação de rubrica orçamentária específica para inclusão na proposta da PLOA 2027. ;Informar que o pleito foi considerado na elaboração da proposta da PLOA 2027.  ;24137127;24888041;;;2026-05-26;;2026-06-01;Maria Julia de Miranda Fiel dos Santos;2026-05-27;Sim;Não;;
ASSESSORIA COAC;50604.000845/2026-11;2026-05-05;Assinado;Maria Júlia;2026-05-12;PE;-;-;DNIT/SRE;Criação de rubrica orçamentária específica para inclusão na proposta da PLOA 2027. ;Informar que o pleito foi considerado na elaboração da proposta da PLOA 2027.  ;24653113;24892846;;;2026-05-26;;2026-06-01;Maria Julia de Miranda Fiel dos Santos;2026-05-27;Sim;Não;;
ASSESSORIA COAC;50604.000794/2026-28;2026-05-25;Assinado;Maria Júlia;2026-06-01;PE;-;-;DNIT/SRE;Criação de rubrica orçamentária específica para inclusão na proposta da PLOA 2027. ;Informar que o pleito foi considerado na elaboração da proposta da PLOA 2027. ;24873600;24892948;;;2026-05-26;;2026-05-27;Maria Julia de Miranda Fiel dos Santos;2026-05-27;Sim;Não;;
ASSESSORIA COAC;50600.016969/2026-59;2026-05-22;Assinado;Maria Júlia;2026-05-25;-;-;-;DNIT/SRE;Consolidação das ações finalísticas da CGCONT para proposta orçamentária do DNIT ao Projeto de Lei Orçamentária Anual (PLOA) 2027. ;Encaminhar planilha das ações finalísticas sob responsabilidade da CGCONT.;24855760;24893502;;;2026-05-26;;2026-05-27;Maria Julia de Miranda Fiel dos Santos;2026-05-27;Sim;Não;;
ASSESSORIA COAC;50600.014385/2026-49;2026-05-06;Assinado;Maria Júlia;2026-05-25;-;-;-;DNIT/SRE;Publicação da Portaria n.º 2.025, de 29 de abril de 2026, no Diário Oficial da União, estabelecendo o calendário da Proposta Orçamentária do DNIT para o exercício de 2027. ;Indicar ciência e concluir o processo.;24659647;24894254;;;2026-05-26;;2026-05-27;Maria Julia de Miranda Fiel dos Santos;2026-05-27;Sim;Não;;
